date,Central bank,Policy rate,Today,Last month,Start of year
2022-01-12,BoJ,-0.1,,,
2022-01-13,BoJ,-0.1,,,
2022-01-14,BoJ,-0.1,,,
2022-01-15,BoJ,-0.1,,,
2022-01-16,BoJ,-0.1,,,
2022-01-17,BoJ,-0.1,,,
2022-01-18,BoJ,-0.1,,,
2022-01-19,BoJ,-0.1,,,
2022-01-20,BoJ,-0.1,,,
2022-01-21,BoJ,-0.1,,,
2022-01-22,BoJ,-0.1,,,
2022-01-23,BoJ,-0.1,,,
2022-01-24,BoJ,-0.1,,,
2022-01-25,BoJ,-0.1,,,
2022-01-26,BoJ,-0.1,,,
2022-01-27,BoJ,-0.1,,,
2022-01-28,BoJ,-0.1,,,
2022-01-29,BoJ,-0.1,,,
2022-01-30,BoJ,-0.1,,,
2022-01-31,BoJ,-0.1,,,
2022-02-01,BoJ,-0.1,,,
2022-02-02,BoJ,-0.1,,,
2022-02-03,BoJ,-0.1,,,
2022-02-04,BoJ,-0.1,,,
2022-02-05,BoJ,-0.1,,,
2022-02-06,BoJ,-0.1,,,
2022-02-07,BoJ,-0.1,,,
2022-02-08,BoJ,-0.1,,,
2022-02-09,BoJ,-0.1,,,
2022-02-10,BoJ,-0.1,,,
2022-02-11,BoJ,-0.1,,,
2022-02-12,BoJ,-0.1,,,
2022-02-13,BoJ,-0.1,,,
2022-02-14,BoJ,-0.1,,,
2022-02-15,BoJ,-0.1,,,
2022-02-16,BoJ,-0.1,,,
2022-02-17,BoJ,-0.1,,,
2022-02-18,BoJ,-0.1,,,
2022-02-19,BoJ,-0.1,,,
2022-02-20,BoJ,-0.1,,,
2022-02-21,BoJ,-0.1,,,
2022-02-22,BoJ,-0.1,,,
2022-02-23,BoJ,-0.1,,,
2022-02-24,BoJ,-0.1,,,
2022-02-25,BoJ,-0.1,,,
2022-02-26,BoJ,-0.1,,,
2022-02-27,BoJ,-0.1,,,
2022-02-28,BoJ,-0.1,,,
2022-03-01,BoJ,-0.1,,,
2022-03-02,BoJ,-0.1,,,
2022-03-03,BoJ,-0.1,,,
2022-03-04,BoJ,-0.1,,,
2022-03-05,BoJ,-0.1,,,
2022-03-06,BoJ,-0.1,,,
2022-03-07,BoJ,-0.1,,,
2022-03-08,BoJ,-0.1,,,
2022-03-09,BoJ,-0.1,,,
2022-03-10,BoJ,-0.1,,,
2022-03-11,BoJ,-0.1,,,
2022-03-12,BoJ,-0.1,,,
2022-03-13,BoJ,-0.1,,,
2022-03-14,BoJ,-0.1,,,
2022-03-15,BoJ,-0.1,,,
2022-03-16,BoJ,-0.1,,,
2022-03-17,BoJ,-0.1,,,
2022-03-18,BoJ,-0.1,,,
2022-03-19,BoJ,-0.1,,,
2022-03-20,BoJ,-0.1,,,
2022-03-21,BoJ,-0.1,,,
2022-03-22,BoJ,-0.1,,,
2022-03-23,BoJ,-0.1,,,
2022-03-24,BoJ,-0.1,,,
2022-03-25,BoJ,-0.1,,,
2022-03-26,BoJ,-0.1,,,
2022-03-27,BoJ,-0.1,,,
2022-03-28,BoJ,-0.1,,,
2022-03-29,BoJ,-0.1,,,
2022-03-30,BoJ,-0.1,,,
2022-03-31,BoJ,-0.1,,,
2022-04-01,BoJ,-0.1,,,
2022-04-02,BoJ,-0.1,,,
2022-04-03,BoJ,-0.1,,,
2022-04-04,BoJ,-0.1,,,
2022-04-05,BoJ,-0.1,,,
2022-04-06,BoJ,-0.1,,,
2022-04-07,BoJ,-0.1,,,
2022-04-08,BoJ,-0.1,,,
2022-04-09,BoJ,-0.1,,,
2022-04-10,BoJ,-0.1,,,
2022-04-11,BoJ,-0.1,,,
2022-04-12,BoJ,-0.1,,,
2022-04-13,BoJ,-0.1,,,
2022-04-14,BoJ,-0.1,,,
2022-04-15,BoJ,-0.1,,,
2022-04-16,BoJ,-0.1,,,
2022-04-17,BoJ,-0.1,,,
2022-04-18,BoJ,-0.1,,,
2022-04-19,BoJ,-0.1,,,
2022-04-20,BoJ,-0.1,,,
2022-04-21,BoJ,-0.1,,,
2022-04-22,BoJ,-0.1,,,
2022-04-23,BoJ,-0.1,,,
2022-04-24,BoJ,-0.1,,,
2022-04-25,BoJ,-0.1,,,
2022-04-26,BoJ,-0.1,,,
2022-04-27,BoJ,-0.1,,,
2022-04-28,BoJ,-0.1,,,
2022-04-29,BoJ,-0.1,,,
2022-04-30,BoJ,-0.1,,,
2022-05-01,BoJ,-0.1,,,
2022-05-02,BoJ,-0.1,,,
2022-05-03,BoJ,-0.1,,,
2022-05-04,BoJ,-0.1,,,
2022-05-05,BoJ,-0.1,,,
2022-05-06,BoJ,-0.1,,,
2022-05-07,BoJ,-0.1,,,
2022-05-08,BoJ,-0.1,,,
2022-05-09,BoJ,-0.1,,,
2022-05-10,BoJ,-0.1,,,
2022-05-11,BoJ,-0.1,,,
2022-05-12,BoJ,-0.1,,,
2022-05-13,BoJ,-0.1,,,
2022-05-14,BoJ,-0.1,,,
2022-05-15,BoJ,-0.1,,,
2022-05-16,BoJ,-0.1,,,
2022-05-17,BoJ,-0.1,,,
2022-05-18,BoJ,-0.1,,,
2022-05-19,BoJ,-0.1,,,
2022-05-20,BoJ,-0.1,,,
2022-05-21,BoJ,-0.1,,,
2022-05-22,BoJ,-0.1,,,
2022-05-23,BoJ,-0.1,,,
2022-05-24,BoJ,-0.1,,,
2022-05-25,BoJ,-0.1,,,
2022-05-26,BoJ,-0.1,,,
2022-05-27,BoJ,-0.1,,,
2022-05-28,BoJ,-0.1,,,
2022-05-29,BoJ,-0.1,,,
2022-05-30,BoJ,-0.1,,,
2022-05-31,BoJ,-0.1,,,
2022-06-01,BoJ,-0.1,,,
2022-06-02,BoJ,-0.1,,,
2022-06-03,BoJ,-0.1,,,
2022-06-04,BoJ,-0.1,,,
2022-06-05,BoJ,-0.1,,,
2022-06-06,BoJ,-0.1,,,
2022-06-07,BoJ,-0.1,,,
2022-06-08,BoJ,-0.1,,,
2022-06-09,BoJ,-0.1,,,
2022-06-10,BoJ,-0.1,,,
2022-06-11,BoJ,-0.1,,,
2022-06-12,BoJ,-0.1,,,
2022-06-13,BoJ,-0.1,,,
2022-06-14,BoJ,-0.1,,,
2022-06-15,BoJ,-0.1,,,
2022-06-16,BoJ,-0.1,,,
2022-06-17,BoJ,-0.1,,,
2022-06-18,BoJ,-0.1,,,
2022-06-19,BoJ,-0.1,,,
2022-06-20,BoJ,-0.1,,,
2022-06-21,BoJ,-0.1,,,
2022-06-22,BoJ,-0.1,,,
2022-06-23,BoJ,-0.1,,,
2022-06-24,BoJ,-0.1,,,
2022-06-25,BoJ,-0.1,,,
2022-06-26,BoJ,-0.1,,,
2022-06-27,BoJ,-0.1,,,
2022-06-28,BoJ,-0.1,,,
2022-06-29,BoJ,-0.1,,,
2022-06-30,BoJ,-0.1,,,
2022-07-01,BoJ,-0.1,,,
2022-07-02,BoJ,-0.1,,,
2022-07-03,BoJ,-0.1,,,
2022-07-04,BoJ,-0.1,,,
2022-07-05,BoJ,-0.1,,,
2022-07-06,BoJ,-0.1,,,
2022-07-07,BoJ,-0.1,,,
2022-07-08,BoJ,-0.1,,,
2022-07-09,BoJ,-0.1,,,
2022-07-10,BoJ,-0.1,,,
2022-07-11,BoJ,-0.1,,,
2022-07-12,BoJ,-0.1,,,
2022-07-13,BoJ,-0.1,,,
2022-07-14,BoJ,-0.1,,,
2022-07-15,BoJ,-0.1,,,
2022-07-16,BoJ,-0.1,,,
2022-07-17,BoJ,-0.1,,,
2022-07-18,BoJ,-0.1,,,
2022-07-19,BoJ,-0.1,,,
2022-07-20,BoJ,-0.1,,,
2022-07-21,BoJ,-0.1,,,
2022-07-22,BoJ,-0.1,,,
2022-07-23,BoJ,-0.1,,,
2022-07-24,BoJ,-0.1,,,
2022-07-25,BoJ,-0.1,,,
2022-07-26,BoJ,-0.1,,,
2022-07-27,BoJ,-0.1,,,
2022-07-28,BoJ,-0.1,,,
2022-07-29,BoJ,-0.1,,,
2022-07-30,BoJ,-0.1,,,
2022-07-31,BoJ,-0.1,,,
2022-08-01,BoJ,-0.1,,,
2022-08-02,BoJ,-0.1,,,
2022-08-03,BoJ,-0.1,,,
2022-08-04,BoJ,-0.1,,,
2022-08-05,BoJ,-0.1,,,
2022-08-06,BoJ,-0.1,,,
2022-08-07,BoJ,-0.1,,,
2022-08-08,BoJ,-0.1,,,
2022-08-09,BoJ,-0.1,,,
2022-08-10,BoJ,-0.1,,,
2022-08-11,BoJ,-0.1,,,
2022-08-12,BoJ,-0.1,,,
2022-08-13,BoJ,-0.1,,,
2022-08-14,BoJ,-0.1,,,
2022-08-15,BoJ,-0.1,,,
2022-08-16,BoJ,-0.1,,,
2022-08-17,BoJ,-0.1,,,
2022-08-18,BoJ,-0.1,,,
2022-08-19,BoJ,-0.1,,,
2022-08-20,BoJ,-0.1,,,
2022-08-21,BoJ,-0.1,,,
2022-08-22,BoJ,-0.1,,,
2022-08-23,BoJ,-0.1,,,
2022-08-24,BoJ,-0.1,,,
2022-08-25,BoJ,-0.1,,,
2022-08-26,BoJ,-0.1,,,
2022-08-27,BoJ,-0.1,,,
2022-08-28,BoJ,-0.1,,,
2022-08-29,BoJ,-0.1,,,
2022-08-30,BoJ,-0.1,,,
2022-08-31,BoJ,-0.1,,,
2022-09-01,BoJ,-0.1,,,
2022-09-02,BoJ,-0.1,,,
2022-09-03,BoJ,-0.1,,,
2022-09-04,BoJ,-0.1,,,
2022-09-05,BoJ,-0.1,,,
2022-09-06,BoJ,-0.1,,,
2022-09-07,BoJ,-0.1,,,
2022-09-08,BoJ,-0.1,,,
2022-09-09,BoJ,-0.1,,,
2022-09-10,BoJ,-0.1,,,
2022-09-11,BoJ,-0.1,,,
2022-09-12,BoJ,-0.1,,,
2022-09-13,BoJ,-0.1,,,
2022-09-14,BoJ,-0.1,,,
2022-09-15,BoJ,-0.1,,,
2022-09-16,BoJ,-0.1,,,
2022-09-17,BoJ,-0.1,,,
2022-09-18,BoJ,-0.1,,,
2022-09-19,BoJ,-0.1,,,
2022-09-20,BoJ,-0.1,,,
2022-09-21,BoJ,-0.1,,,
2022-09-22,BoJ,-0.1,,,
2022-09-23,BoJ,-0.1,,,
2022-09-24,BoJ,-0.1,,,
2022-09-25,BoJ,-0.1,,,
2022-09-26,BoJ,-0.1,,,
2022-09-27,BoJ,-0.1,,,
2022-09-28,BoJ,-0.1,,,
2022-09-29,BoJ,-0.1,,,
2022-09-30,BoJ,-0.1,,,
2022-10-01,BoJ,-0.1,,,
2022-10-02,BoJ,-0.1,,,
2022-10-03,BoJ,-0.1,,,
2022-10-04,BoJ,-0.1,,,
2022-10-05,BoJ,-0.1,,,
2022-10-06,BoJ,-0.1,,,
2022-10-07,BoJ,-0.1,,,
2022-10-08,BoJ,-0.1,,,
2022-10-09,BoJ,-0.1,,,
2022-10-10,BoJ,-0.1,,,
2022-10-11,BoJ,-0.1,,,
2022-10-12,BoJ,-0.1,,,
2022-10-13,BoJ,-0.1,,,
2022-10-14,BoJ,-0.1,,,
2022-10-15,BoJ,-0.1,,,
2022-10-16,BoJ,-0.1,,,
2022-10-17,BoJ,-0.1,,,
2022-10-18,BoJ,-0.1,,,
2022-10-19,BoJ,-0.1,,,
2022-10-20,BoJ,-0.1,,,
2022-10-21,BoJ,-0.1,,,
2022-10-22,BoJ,-0.1,,,
2022-10-23,BoJ,-0.1,,,
2022-10-24,BoJ,-0.1,,,
2022-10-25,BoJ,-0.1,,,
2022-10-26,BoJ,-0.1,,,
2022-10-27,BoJ,-0.1,,,
2022-10-28,BoJ,-0.1,,,
2022-10-29,BoJ,-0.1,,,
2022-10-30,BoJ,-0.1,,,
2022-10-31,BoJ,-0.1,,,
2022-11-01,BoJ,-0.1,,,
2022-11-02,BoJ,-0.1,,,
2022-11-03,BoJ,-0.1,,,
2022-11-04,BoJ,-0.1,,,
2022-11-05,BoJ,-0.1,,,
2022-11-06,BoJ,-0.1,,,
2022-11-07,BoJ,-0.1,,,
2022-11-08,BoJ,-0.1,,,
2022-11-09,BoJ,-0.1,,,
2022-11-10,BoJ,-0.1,,,
2022-11-11,BoJ,-0.1,,,
2022-11-12,BoJ,-0.1,,,
2022-11-13,BoJ,-0.1,,,
2022-11-14,BoJ,-0.1,,,
2022-11-15,BoJ,-0.1,,,
2022-11-16,BoJ,-0.1,,,
2022-11-17,BoJ,-0.1,,,
2022-11-18,BoJ,-0.1,,,
2022-11-19,BoJ,-0.1,,,
2022-11-20,BoJ,-0.1,,,
2022-11-21,BoJ,-0.1,,,
2022-11-22,BoJ,-0.1,,,
2022-11-23,BoJ,-0.1,,,
2022-11-24,BoJ,-0.1,,,
2022-11-25,BoJ,-0.1,,,
2022-11-26,BoJ,-0.1,,,
2022-11-27,BoJ,-0.1,,,
2022-11-28,BoJ,-0.1,,,
2022-11-29,BoJ,-0.1,,,
2022-11-30,BoJ,-0.1,,,
2022-12-01,BoJ,-0.1,,,
2022-12-02,BoJ,-0.1,,,
2022-12-03,BoJ,-0.1,,,
2022-12-04,BoJ,-0.1,,,
2022-12-05,BoJ,-0.1,,,
2022-12-06,BoJ,-0.1,,,
2022-12-07,BoJ,-0.1,,,
2022-12-08,BoJ,-0.1,,,
2022-12-09,BoJ,-0.1,,,
2022-12-10,BoJ,-0.1,,,
2022-12-11,BoJ,-0.1,,,
2022-12-12,BoJ,-0.1,,,
2022-12-13,BoJ,-0.1,,,
2022-12-14,BoJ,-0.1,,,
2022-12-15,BoJ,-0.1,,,
2022-12-16,BoJ,-0.1,,,
2022-12-17,BoJ,-0.1,,,
2022-12-18,BoJ,-0.1,,,
2022-12-19,BoJ,-0.1,,,
2022-12-20,BoJ,-0.1,,,
2022-12-21,BoJ,-0.1,,,
2022-12-22,BoJ,-0.1,,,
2022-12-23,BoJ,-0.1,,,
2022-12-24,BoJ,-0.1,,,
2022-12-25,BoJ,-0.1,,,
2022-12-26,BoJ,-0.1,,,
2022-12-27,BoJ,-0.1,,,
2022-12-28,BoJ,-0.1,,,
2022-12-29,BoJ,-0.1,,,
2022-12-30,BoJ,-0.1,,,
2022-12-31,BoJ,-0.1,,,
2023-01-01,BoJ,-0.1,,,
2023-01-02,BoJ,-0.1,,,
2023-01-03,BoJ,-0.1,,,
2023-01-04,BoJ,-0.1,,,
2023-01-05,BoJ,-0.1,,,
2023-01-06,BoJ,-0.1,,,
2023-01-07,BoJ,-0.1,,,
2023-01-08,BoJ,-0.1,,,
2023-01-09,BoJ,-0.1,,,
2023-01-10,BoJ,-0.1,,,
2023-01-11,BoJ,-0.1,,,
2023-01-12,BoJ,-0.1,,,
2023-01-13,BoJ,-0.1,,,
2023-01-14,BoJ,-0.1,,,
2023-01-15,BoJ,-0.1,,,
2023-01-16,BoJ,-0.1,,,
2023-01-17,BoJ,-0.1,,,
2023-01-18,BoJ,-0.1,,,
2023-01-19,BoJ,-0.1,,,
2023-01-20,BoJ,-0.1,,,
2023-01-21,BoJ,-0.1,,,
2023-01-22,BoJ,-0.1,,,
2023-01-23,BoJ,-0.1,,,
2023-01-24,BoJ,-0.1,,,
2023-01-25,BoJ,-0.1,,,
2023-01-26,BoJ,-0.1,,,
2023-01-27,BoJ,-0.1,,,
2023-01-28,BoJ,-0.1,,,
2023-01-29,BoJ,-0.1,,,
2023-01-30,BoJ,-0.1,,,
2023-01-31,BoJ,-0.1,,,
2023-02-01,BoJ,-0.1,,,
2023-02-02,BoJ,-0.1,,,
2023-02-03,BoJ,-0.1,,,
2023-02-04,BoJ,-0.1,,,
2023-02-05,BoJ,-0.1,,,
2023-02-06,BoJ,-0.1,,,
2023-02-07,BoJ,-0.1,,,
2023-02-08,BoJ,-0.1,,,
2023-02-09,BoJ,-0.1,,,
2023-02-10,BoJ,-0.1,,,
2023-02-11,BoJ,-0.1,,,
2023-02-12,BoJ,-0.1,,,
2023-02-13,BoJ,-0.1,,,
2023-02-14,BoJ,-0.1,,,
2023-02-15,BoJ,-0.1,,,
2023-02-16,BoJ,-0.1,,,
2023-02-17,BoJ,-0.1,,,
2023-02-18,BoJ,-0.1,,,
2023-02-19,BoJ,-0.1,,,
2023-02-20,BoJ,-0.1,,,
2023-02-21,BoJ,-0.1,,,
2023-02-22,BoJ,-0.1,,,
2023-02-23,BoJ,-0.1,,,
2023-02-24,BoJ,-0.1,,,
2023-02-25,BoJ,-0.1,,,
2023-02-26,BoJ,-0.1,,,
2023-02-27,BoJ,-0.1,,,
2023-02-28,BoJ,-0.1,,,
2023-03-01,BoJ,-0.1,,,
2023-03-02,BoJ,-0.1,,,
2023-03-03,BoJ,-0.1,,,
2023-03-04,BoJ,-0.1,,,
2023-03-05,BoJ,-0.1,,,
2023-03-06,BoJ,-0.1,,,
2023-03-07,BoJ,-0.1,,,
2023-03-08,BoJ,-0.1,,,
2023-03-09,BoJ,-0.1,,,
2023-03-10,BoJ,-0.1,,,
2023-03-11,BoJ,-0.1,,,
2023-03-12,BoJ,-0.1,,,
2023-03-13,BoJ,-0.1,,,
2023-03-14,BoJ,-0.1,,,
2023-03-15,BoJ,-0.1,,,
2023-03-16,BoJ,-0.1,,,
2023-03-17,BoJ,-0.1,,,
2023-03-18,BoJ,-0.1,,,
2023-03-19,BoJ,-0.1,,,
2023-03-20,BoJ,-0.1,,,
2023-03-21,BoJ,-0.1,,,
2023-03-22,BoJ,-0.1,,,
2023-03-23,BoJ,-0.1,,,
2023-03-24,BoJ,-0.1,,,
2023-03-25,BoJ,-0.1,,,
2023-03-26,BoJ,-0.1,,,
2023-03-27,BoJ,-0.1,,,
2023-03-28,BoJ,-0.1,,,
2023-03-29,BoJ,-0.1,,,
2023-03-30,BoJ,-0.1,,,
2023-03-31,BoJ,-0.1,,,
2023-04-01,BoJ,-0.1,,,
2023-04-02,BoJ,-0.1,,,
2023-04-03,BoJ,-0.1,,,
2023-04-04,BoJ,-0.1,,,
2023-04-05,BoJ,-0.1,,,
2023-04-06,BoJ,-0.1,,,
2023-04-07,BoJ,-0.1,,,
2023-04-08,BoJ,-0.1,,,
2023-04-09,BoJ,-0.1,,,
2023-04-10,BoJ,-0.1,,,
2023-04-11,BoJ,-0.1,,,
2023-04-12,BoJ,-0.1,,,
2023-04-13,BoJ,-0.1,,,
2023-04-14,BoJ,-0.1,,,
2023-04-15,BoJ,-0.1,,,
2023-04-16,BoJ,-0.1,,,
2023-04-17,BoJ,-0.1,,,
2023-04-18,BoJ,-0.1,,,
2023-04-19,BoJ,-0.1,,,
2023-04-20,BoJ,-0.1,,,
2023-04-21,BoJ,-0.1,,,
2023-04-22,BoJ,-0.1,,,
2023-04-23,BoJ,-0.1,,,
2023-04-24,BoJ,-0.1,,,
2023-04-25,BoJ,-0.1,,,
2023-04-26,BoJ,-0.1,,,
2023-04-27,BoJ,-0.1,,,
2023-04-28,BoJ,-0.1,,,
2023-04-29,BoJ,-0.1,,,
2023-04-30,BoJ,-0.1,,,
2023-05-01,BoJ,-0.1,,,
2023-05-02,BoJ,-0.1,,,
2023-05-03,BoJ,-0.1,,,
2023-05-04,BoJ,-0.1,,,
2023-05-05,BoJ,-0.1,,,
2023-05-06,BoJ,-0.1,,,
2023-05-07,BoJ,-0.1,,,
2023-05-08,BoJ,-0.1,,,
2023-05-09,BoJ,-0.1,,,
2023-05-10,BoJ,-0.1,,,
2023-05-11,BoJ,-0.1,,,
2023-05-12,BoJ,-0.1,,,
2023-05-13,BoJ,-0.1,,,
2023-05-14,BoJ,-0.1,,,
2023-05-15,BoJ,-0.1,,,
2023-05-16,BoJ,-0.1,,,
2023-05-17,BoJ,-0.1,,,
2023-05-18,BoJ,-0.1,,,
2023-05-19,BoJ,-0.1,,,
2023-05-20,BoJ,-0.1,,,
2023-05-21,BoJ,-0.1,,,
2023-05-22,BoJ,-0.1,,,
2023-05-23,BoJ,-0.1,,,
2023-05-24,BoJ,-0.1,,,
2023-05-25,BoJ,-0.1,,,
2023-05-26,BoJ,-0.1,,,
2023-05-27,BoJ,-0.1,,,
2023-05-28,BoJ,-0.1,,,
2023-05-29,BoJ,-0.1,,,
2023-05-30,BoJ,-0.1,,,
2023-05-31,BoJ,-0.1,,,
2023-06-01,BoJ,-0.1,,,
2023-06-02,BoJ,-0.1,,,
2023-06-03,BoJ,-0.1,,,
2023-06-04,BoJ,-0.1,,,
2023-06-05,BoJ,-0.1,,,
2023-06-06,BoJ,-0.1,,,
2023-06-07,BoJ,-0.1,,,
2023-06-08,BoJ,-0.1,,,
2023-06-09,BoJ,-0.1,,,
2023-06-10,BoJ,-0.1,,,
2023-06-11,BoJ,-0.1,,,
2023-06-12,BoJ,-0.1,,,
2023-06-13,BoJ,-0.1,,,
2023-06-14,BoJ,-0.1,,,
2023-06-15,BoJ,-0.1,,,
2023-06-16,BoJ,-0.1,,,
2023-06-17,BoJ,-0.1,,,
2023-06-18,BoJ,-0.1,,,
2023-06-19,BoJ,-0.1,,,
2023-06-20,BoJ,-0.1,,,
2023-06-21,BoJ,-0.1,,,
2023-06-22,BoJ,-0.1,,,
2023-06-23,BoJ,-0.1,,,
2023-06-24,BoJ,-0.1,,,
2023-06-25,BoJ,-0.1,,,
2023-06-26,BoJ,-0.1,,,
2023-06-27,BoJ,-0.1,,,
2023-06-28,BoJ,-0.1,,,
2023-06-29,BoJ,-0.1,,,
2023-06-30,BoJ,-0.1,,,
2023-07-01,BoJ,-0.1,,,
2023-07-02,BoJ,-0.1,,,
2023-07-03,BoJ,-0.1,,,
2023-07-04,BoJ,-0.1,,,
2023-07-05,BoJ,-0.1,,,
2023-07-06,BoJ,-0.1,,,
2023-07-07,BoJ,-0.1,,,
2023-07-08,BoJ,-0.1,,,
2023-07-09,BoJ,-0.1,,,
2023-07-10,BoJ,-0.1,,,
2023-07-11,BoJ,-0.1,,,
2023-07-12,BoJ,-0.1,,,
2023-07-13,BoJ,-0.1,,,
2023-07-14,BoJ,-0.1,,,
2023-07-15,BoJ,-0.1,,,
2023-07-16,BoJ,-0.1,,,
2023-07-17,BoJ,-0.1,,,
2023-07-18,BoJ,-0.1,,,
2023-07-19,BoJ,-0.1,,,
2023-07-20,BoJ,-0.1,,,
2023-07-21,BoJ,-0.1,,,
2023-07-22,BoJ,-0.1,,,
2023-07-23,BoJ,-0.1,,,
2023-07-24,BoJ,-0.1,,,
2023-07-25,BoJ,-0.1,,,
2023-07-26,BoJ,-0.1,,,
2023-07-27,BoJ,-0.1,,,
2023-07-28,BoJ,-0.1,,,
2023-07-29,BoJ,-0.1,,,
2023-07-30,BoJ,-0.1,,,
2023-07-31,BoJ,-0.1,,,
2023-08-01,BoJ,-0.1,,,
2023-08-02,BoJ,-0.1,,,
2023-08-03,BoJ,-0.1,,,
2023-08-04,BoJ,-0.1,,,
2023-08-05,BoJ,-0.1,,,
2023-08-06,BoJ,-0.1,,,
2023-08-07,BoJ,-0.1,,,
2023-08-08,BoJ,-0.1,,,
2023-08-09,BoJ,-0.1,,,
2023-08-10,BoJ,-0.1,,,
2023-08-11,BoJ,-0.1,,,
2023-08-12,BoJ,-0.1,,,
2023-08-13,BoJ,-0.1,,,
2023-08-14,BoJ,-0.1,,,
2023-08-15,BoJ,-0.1,,,
2023-08-16,BoJ,-0.1,,,
2023-08-17,BoJ,-0.1,,,
2023-08-18,BoJ,-0.1,,,
2023-08-19,BoJ,-0.1,,,
2023-08-20,BoJ,-0.1,,,
2023-08-21,BoJ,-0.1,,,
2023-08-22,BoJ,-0.1,,,
2023-08-23,BoJ,-0.1,,,
2023-08-24,BoJ,-0.1,,,
2023-08-25,BoJ,-0.1,,,
2023-08-26,BoJ,-0.1,,,
2023-08-27,BoJ,-0.1,,,
2023-08-28,BoJ,-0.1,,,
2023-08-29,BoJ,-0.1,,,
2023-08-30,BoJ,-0.1,,,
2023-08-31,BoJ,-0.1,,,
2023-09-01,BoJ,-0.1,,,
2023-09-02,BoJ,-0.1,,,
2023-09-03,BoJ,-0.1,,,
2023-09-04,BoJ,-0.1,,,
2023-09-05,BoJ,-0.1,,,
2023-09-06,BoJ,-0.1,,,
2023-09-07,BoJ,-0.1,,,
2023-09-08,BoJ,-0.1,,,
2023-09-09,BoJ,-0.1,,,
2023-09-10,BoJ,-0.1,,,
2023-09-11,BoJ,-0.1,,,
2023-09-12,BoJ,-0.1,,,
2023-09-13,BoJ,-0.1,,,
2023-09-14,BoJ,-0.1,,,
2023-09-15,BoJ,-0.1,,,
2023-09-16,BoJ,-0.1,,,
2023-09-17,BoJ,-0.1,,,
2023-09-18,BoJ,-0.1,,,
2023-09-19,BoJ,-0.1,,,
2023-09-20,BoJ,-0.1,,,
2023-09-21,BoJ,-0.1,,,
2023-09-22,BoJ,-0.1,,,
2023-09-23,BoJ,-0.1,,,
2023-09-24,BoJ,-0.1,,,
2023-09-25,BoJ,-0.1,,,
2023-09-26,BoJ,-0.1,,,
2023-09-27,BoJ,-0.1,,,
2023-09-28,BoJ,-0.1,,,
2023-09-29,BoJ,-0.1,,,
2023-09-30,BoJ,-0.1,,,
2023-10-01,BoJ,-0.1,,,
2023-10-02,BoJ,-0.1,,,
2023-10-03,BoJ,-0.1,,,
2023-10-04,BoJ,-0.1,,,
2023-10-05,BoJ,-0.1,,,
2023-10-06,BoJ,-0.1,,,
2023-10-07,BoJ,-0.1,,,
2023-10-08,BoJ,-0.1,,,
2023-10-09,BoJ,-0.1,,,
2023-10-10,BoJ,-0.1,,,
2023-10-11,BoJ,-0.1,,,
2023-10-12,BoJ,-0.1,,,
2023-10-13,BoJ,-0.1,,,
2023-10-14,BoJ,-0.1,,,
2023-10-15,BoJ,-0.1,,,
2023-10-16,BoJ,-0.1,,,
2023-10-17,BoJ,-0.1,,,
2023-10-18,BoJ,-0.1,,,
2023-10-19,BoJ,-0.1,,,
2023-10-20,BoJ,-0.1,,,
2023-10-21,BoJ,-0.1,,,
2023-10-22,BoJ,-0.1,,,
2023-10-23,BoJ,-0.1,,,
2023-10-24,BoJ,-0.1,,,
2023-10-25,BoJ,-0.1,,,
2023-10-26,BoJ,-0.1,,,
2023-10-27,BoJ,-0.1,,,
2023-10-28,BoJ,-0.1,,,
2023-10-29,BoJ,-0.1,,,
2023-10-30,BoJ,-0.1,,,
2023-10-31,BoJ,-0.1,,,
2023-11-01,BoJ,-0.1,,,
2023-11-02,BoJ,-0.1,,,
2023-11-03,BoJ,-0.1,,,
2023-11-04,BoJ,-0.1,,,
2023-11-05,BoJ,-0.1,,,
2023-11-06,BoJ,-0.1,,,
2023-11-07,BoJ,-0.1,,,
2023-11-08,BoJ,-0.1,,,
2023-11-09,BoJ,-0.1,,,
2023-11-10,BoJ,-0.1,,,
2023-11-11,BoJ,-0.1,,,
2023-11-12,BoJ,-0.1,,,
2023-11-13,BoJ,-0.1,,,
2023-11-14,BoJ,-0.1,,,
2023-11-15,BoJ,-0.1,,,
2023-11-16,BoJ,-0.1,,,
2023-11-17,BoJ,-0.1,,,
2023-11-18,BoJ,-0.1,,,
2023-11-19,BoJ,-0.1,,,
2023-11-20,BoJ,-0.1,,,
2023-11-21,BoJ,-0.1,,,
2023-11-22,BoJ,-0.1,,,
2023-11-23,BoJ,-0.1,,,
2023-11-24,BoJ,-0.1,,,
2023-11-25,BoJ,-0.1,,,
2023-11-26,BoJ,-0.1,,,
2023-11-27,BoJ,-0.1,,,
2023-11-28,BoJ,-0.1,,,
2023-11-29,BoJ,-0.1,,,
2023-11-30,BoJ,-0.1,,,
2023-12-01,BoJ,-0.1,,,
2023-12-02,BoJ,-0.1,,,
2023-12-03,BoJ,-0.1,,,
2023-12-04,BoJ,-0.1,,,
2023-12-05,BoJ,-0.1,,,
2023-12-06,BoJ,-0.1,,,
2023-12-07,BoJ,-0.1,,,
2023-12-08,BoJ,-0.1,,,
2023-12-09,BoJ,-0.1,,,
2023-12-10,BoJ,-0.1,,,
