date,Central bank,Policy rate,Today,Last month,Mid 2024
2023-01-19,Bank of England,3.5,,,
2023-01-20,Bank of England,3.5,,,
2023-01-21,Bank of England,3.5,,,
2023-01-22,Bank of England,3.5,,,
2023-01-23,Bank of England,3.5,,,
2023-01-24,Bank of England,3.5,,,
2023-01-25,Bank of England,3.5,,,
2023-01-26,Bank of England,3.5,,,
2023-01-27,Bank of England,3.5,,,
2023-01-28,Bank of England,3.5,,,
2023-01-29,Bank of England,3.5,,,
2023-01-30,Bank of England,3.5,,,
2023-01-31,Bank of England,3.5,,,
2023-02-01,Bank of England,3.5,,,
2023-02-02,Bank of England,4,,,
2023-02-03,Bank of England,4,,,
2023-02-04,Bank of England,4,,,
2023-02-05,Bank of England,4,,,
2023-02-06,Bank of England,4,,,
2023-02-07,Bank of England,4,,,
2023-02-08,Bank of England,4,,,
2023-02-09,Bank of England,4,,,
2023-02-10,Bank of England,4,,,
2023-02-11,Bank of England,4,,,
2023-02-12,Bank of England,4,,,
2023-02-13,Bank of England,4,,,
2023-02-14,Bank of England,4,,,
2023-02-15,Bank of England,4,,,
2023-02-16,Bank of England,4,,,
2023-02-17,Bank of England,4,,,
2023-02-18,Bank of England,4,,,
2023-02-19,Bank of England,4,,,
2023-02-20,Bank of England,4,,,
2023-02-21,Bank of England,4,,,
2023-02-22,Bank of England,4,,,
2023-02-23,Bank of England,4,,,
2023-02-24,Bank of England,4,,,
2023-02-25,Bank of England,4,,,
2023-02-26,Bank of England,4,,,
2023-02-27,Bank of England,4,,,
2023-02-28,Bank of England,4,,,
2023-03-01,Bank of England,4,,,
2023-03-02,Bank of England,4,,,
2023-03-03,Bank of England,4,,,
2023-03-04,Bank of England,4,,,
2023-03-05,Bank of England,4,,,
2023-03-06,Bank of England,4,,,
2023-03-07,Bank of England,4,,,
2023-03-08,Bank of England,4,,,
2023-03-09,Bank of England,4,,,
2023-03-10,Bank of England,4,,,
2023-03-11,Bank of England,4,,,
2023-03-12,Bank of England,4,,,
2023-03-13,Bank of England,4,,,
2023-03-14,Bank of England,4,,,
2023-03-15,Bank of England,4,,,
2023-03-16,Bank of England,4,,,
2023-03-17,Bank of England,4,,,
2023-03-18,Bank of England,4,,,
2023-03-19,Bank of England,4,,,
2023-03-20,Bank of England,4,,,
2023-03-21,Bank of England,4,,,
2023-03-22,Bank of England,4,,,
2023-03-23,Bank of England,4.25,,,
2023-03-24,Bank of England,4.25,,,
2023-03-25,Bank of England,4.25,,,
2023-03-26,Bank of England,4.25,,,
2023-03-27,Bank of England,4.25,,,
2023-03-28,Bank of England,4.25,,,
2023-03-29,Bank of England,4.25,,,
2023-03-30,Bank of England,4.25,,,
2023-03-31,Bank of England,4.25,,,
2023-04-01,Bank of England,4.25,,,
2023-04-02,Bank of England,4.25,,,
2023-04-03,Bank of England,4.25,,,
2023-04-04,Bank of England,4.25,,,
2023-04-05,Bank of England,4.25,,,
2023-04-06,Bank of England,4.25,,,
2023-04-07,Bank of England,4.25,,,
2023-04-08,Bank of England,4.25,,,
2023-04-09,Bank of England,4.25,,,
2023-04-10,Bank of England,4.25,,,
2023-04-11,Bank of England,4.25,,,
2023-04-12,Bank of England,4.25,,,
2023-04-13,Bank of England,4.25,,,
2023-04-14,Bank of England,4.25,,,
2023-04-15,Bank of England,4.25,,,
2023-04-16,Bank of England,4.25,,,
2023-04-17,Bank of England,4.25,,,
2023-04-18,Bank of England,4.25,,,
2023-04-19,Bank of England,4.25,,,
2023-04-20,Bank of England,4.25,,,
2023-04-21,Bank of England,4.25,,,
2023-04-22,Bank of England,4.25,,,
2023-04-23,Bank of England,4.25,,,
2023-04-24,Bank of England,4.25,,,
2023-04-25,Bank of England,4.25,,,
2023-04-26,Bank of England,4.25,,,
2023-04-27,Bank of England,4.25,,,
2023-04-28,Bank of England,4.25,,,
2023-04-29,Bank of England,4.25,,,
2023-04-30,Bank of England,4.25,,,
2023-05-01,Bank of England,4.25,,,
2023-05-02,Bank of England,4.25,,,
2023-05-03,Bank of England,4.25,,,
2023-05-04,Bank of England,4.25,,,
2023-05-05,Bank of England,4.25,,,
2023-05-06,Bank of England,4.25,,,
2023-05-07,Bank of England,4.25,,,
2023-05-08,Bank of England,4.25,,,
2023-05-09,Bank of England,4.25,,,
2023-05-10,Bank of England,4.25,,,
2023-05-11,Bank of England,4.5,,,
2023-05-12,Bank of England,4.5,,,
2023-05-13,Bank of England,4.5,,,
2023-05-14,Bank of England,4.5,,,
2023-05-15,Bank of England,4.5,,,
2023-05-16,Bank of England,4.5,,,
2023-05-17,Bank of England,4.5,,,
2023-05-18,Bank of England,4.5,,,
2023-05-19,Bank of England,4.5,,,
2023-05-20,Bank of England,4.5,,,
2023-05-21,Bank of England,4.5,,,
2023-05-22,Bank of England,4.5,,,
2023-05-23,Bank of England,4.5,,,
2023-05-24,Bank of England,4.5,,,
2023-05-25,Bank of England,4.5,,,
2023-05-26,Bank of England,4.5,,,
2023-05-27,Bank of England,4.5,,,
2023-05-28,Bank of England,4.5,,,
2023-05-29,Bank of England,4.5,,,
2023-05-30,Bank of England,4.5,,,
2023-05-31,Bank of England,4.5,,,
2023-06-01,Bank of England,4.5,,,
2023-06-02,Bank of England,4.5,,,
2023-06-03,Bank of England,4.5,,,
2023-06-04,Bank of England,4.5,,,
2023-06-05,Bank of England,4.5,,,
2023-06-06,Bank of England,4.5,,,
2023-06-07,Bank of England,4.5,,,
2023-06-08,Bank of England,4.5,,,
2023-06-09,Bank of England,4.5,,,
2023-06-10,Bank of England,4.5,,,
2023-06-11,Bank of England,4.5,,,
2023-06-12,Bank of England,4.5,,,
2023-06-13,Bank of England,4.5,,,
2023-06-14,Bank of England,4.5,,,
2023-06-15,Bank of England,4.5,,,
2023-06-16,Bank of England,4.5,,,
2023-06-17,Bank of England,4.5,,,
2023-06-18,Bank of England,4.5,,,
2023-06-19,Bank of England,4.5,,,
2023-06-20,Bank of England,4.5,,,
2023-06-21,Bank of England,4.5,,,
2023-06-22,Bank of England,5,,,
2023-06-23,Bank of England,5,,,
2023-06-24,Bank of England,5,,,
2023-06-25,Bank of England,5,,,
2023-06-26,Bank of England,5,,,
2023-06-27,Bank of England,5,,,
2023-06-28,Bank of England,5,,,
2023-06-29,Bank of England,5,,,
2023-06-30,Bank of England,5,,,
2023-07-01,Bank of England,5,,,
2023-07-02,Bank of England,5,,,
2023-07-03,Bank of England,5,,,
2023-07-04,Bank of England,5,,,
2023-07-05,Bank of England,5,,,
2023-07-06,Bank of England,5,,,
2023-07-07,Bank of England,5,,,
2023-07-08,Bank of England,5,,,
2023-07-09,Bank of England,5,,,
2023-07-10,Bank of England,5,,,
2023-07-11,Bank of England,5,,,
2023-07-12,Bank of England,5,,,
2023-07-13,Bank of England,5,,,
2023-07-14,Bank of England,5,,,
2023-07-15,Bank of England,5,,,
2023-07-16,Bank of England,5,,,
2023-07-17,Bank of England,5,,,
2023-07-18,Bank of England,5,,,
2023-07-19,Bank of England,5,,,
2023-07-20,Bank of England,5,,,
2023-07-21,Bank of England,5,,,
2023-07-22,Bank of England,5,,,
2023-07-23,Bank of England,5,,,
2023-07-24,Bank of England,5,,,
2023-07-25,Bank of England,5,,,
2023-07-26,Bank of England,5,,,
2023-07-27,Bank of England,5,,,
2023-07-28,Bank of England,5,,,
2023-07-29,Bank of England,5,,,
2023-07-30,Bank of England,5,,,
2023-07-31,Bank of England,5,,,
2023-08-01,Bank of England,5,,,
2023-08-02,Bank of England,5,,,
2023-08-03,Bank of England,5.25,,,
2023-08-04,Bank of England,5.25,,,
2023-08-05,Bank of England,5.25,,,
2023-08-06,Bank of England,5.25,,,
2023-08-07,Bank of England,5.25,,,
2023-08-08,Bank of England,5.25,,,
2023-08-09,Bank of England,5.25,,,
2023-08-10,Bank of England,5.25,,,
2023-08-11,Bank of England,5.25,,,
2023-08-12,Bank of England,5.25,,,
2023-08-13,Bank of England,5.25,,,
2023-08-14,Bank of England,5.25,,,
2023-08-15,Bank of England,5.25,,,
2023-08-16,Bank of England,5.25,,,
2023-08-17,Bank of England,5.25,,,
2023-08-18,Bank of England,5.25,,,
2023-08-19,Bank of England,5.25,,,
2023-08-20,Bank of England,5.25,,,
2023-08-21,Bank of England,5.25,,,
2023-08-22,Bank of England,5.25,,,
2023-08-23,Bank of England,5.25,,,
2023-08-24,Bank of England,5.25,,,
2023-08-25,Bank of England,5.25,,,
2023-08-26,Bank of England,5.25,,,
2023-08-27,Bank of England,5.25,,,
2023-08-28,Bank of England,5.25,,,
2023-08-29,Bank of England,5.25,,,
2023-08-30,Bank of England,5.25,,,
2023-08-31,Bank of England,5.25,,,
2023-09-01,Bank of England,5.25,,,
2023-09-02,Bank of England,5.25,,,
2023-09-03,Bank of England,5.25,,,
2023-09-04,Bank of England,5.25,,,
2023-09-05,Bank of England,5.25,,,
2023-09-06,Bank of England,5.25,,,
2023-09-07,Bank of England,5.25,,,
2023-09-08,Bank of England,5.25,,,
2023-09-09,Bank of England,5.25,,,
2023-09-10,Bank of England,5.25,,,
2023-09-11,Bank of England,5.25,,,
2023-09-12,Bank of England,5.25,,,
2023-09-13,Bank of England,5.25,,,
2023-09-14,Bank of England,5.25,,,
2023-09-15,Bank of England,5.25,,,
2023-09-16,Bank of England,5.25,,,
2023-09-17,Bank of England,5.25,,,
2023-09-18,Bank of England,5.25,,,
2023-09-19,Bank of England,5.25,,,
2023-09-20,Bank of England,5.25,,,
2023-09-21,Bank of England,5.25,,,
2023-09-22,Bank of England,5.25,,,
2023-09-23,Bank of England,5.25,,,
2023-09-24,Bank of England,5.25,,,
2023-09-25,Bank of England,5.25,,,
2023-09-26,Bank of England,5.25,,,
2023-09-27,Bank of England,5.25,,,
2023-09-28,Bank of England,5.25,,,
2023-09-29,Bank of England,5.25,,,
2023-09-30,Bank of England,5.25,,,
2023-10-01,Bank of England,5.25,,,
2023-10-02,Bank of England,5.25,,,
2023-10-03,Bank of England,5.25,,,
2023-10-04,Bank of England,5.25,,,
2023-10-05,Bank of England,5.25,,,
2023-10-06,Bank of England,5.25,,,
2023-10-07,Bank of England,5.25,,,
2023-10-08,Bank of England,5.25,,,
2023-10-09,Bank of England,5.25,,,
2023-10-10,Bank of England,5.25,,,
2023-10-11,Bank of England,5.25,,,
2023-10-12,Bank of England,5.25,,,
2023-10-13,Bank of England,5.25,,,
2023-10-14,Bank of England,5.25,,,
2023-10-15,Bank of England,5.25,,,
2023-10-16,Bank of England,5.25,,,
2023-10-17,Bank of England,5.25,,,
2023-10-18,Bank of England,5.25,,,
2023-10-19,Bank of England,5.25,,,
2023-10-20,Bank of England,5.25,,,
2023-10-21,Bank of England,5.25,,,
2023-10-22,Bank of England,5.25,,,
2023-10-23,Bank of England,5.25,,,
2023-10-24,Bank of England,5.25,,,
2023-10-25,Bank of England,5.25,,,
2023-10-26,Bank of England,5.25,,,
2023-10-27,Bank of England,5.25,,,
2023-10-28,Bank of England,5.25,,,
2023-10-29,Bank of England,5.25,,,
2023-10-30,Bank of England,5.25,,,
2023-10-31,Bank of England,5.25,,,
2023-11-01,Bank of England,5.25,,,
2023-11-02,Bank of England,5.25,,,
2023-11-03,Bank of England,5.25,,,
2023-11-04,Bank of England,5.25,,,
2023-11-05,Bank of England,5.25,,,
2023-11-06,Bank of England,5.25,,,
2023-11-07,Bank of England,5.25,,,
2023-11-08,Bank of England,5.25,,,
2023-11-09,Bank of England,5.25,,,
2023-11-10,Bank of England,5.25,,,
2023-11-11,Bank of England,5.25,,,
2023-11-12,Bank of England,5.25,,,
2023-11-13,Bank of England,5.25,,,
2023-11-14,Bank of England,5.25,,,
2023-11-15,Bank of England,5.25,,,
2023-11-16,Bank of England,5.25,,,
2023-11-17,Bank of England,5.25,,,
2023-11-18,Bank of England,5.25,,,
2023-11-19,Bank of England,5.25,,,
2023-11-20,Bank of England,5.25,,,
2023-11-21,Bank of England,5.25,,,
2023-11-22,Bank of England,5.25,,,
2023-11-23,Bank of England,5.25,,,
2023-11-24,Bank of England,5.25,,,
2023-11-25,Bank of England,5.25,,,
2023-11-26,Bank of England,5.25,,,
2023-11-27,Bank of England,5.25,,,
2023-11-28,Bank of England,5.25,,,
2023-11-29,Bank of England,5.25,,,
2023-11-30,Bank of England,5.25,,,
2023-12-01,Bank of England,5.25,,,
2023-12-02,Bank of England,5.25,,,
2023-12-03,Bank of England,5.25,,,
2023-12-04,Bank of England,5.25,,,
2023-12-05,Bank of England,5.25,,,
2023-12-06,Bank of England,5.25,,,
2023-12-07,Bank of England,5.25,,,
2023-12-08,Bank of England,5.25,,,
2023-12-09,Bank of England,5.25,,,
2023-12-10,Bank of England,5.25,,,
2023-12-11,Bank of England,5.25,,,
2023-12-12,Bank of England,5.25,,,
2023-12-13,Bank of England,5.25,,,
2023-12-14,Bank of England,5.25,,,
2023-12-15,Bank of England,5.25,,,
2023-12-16,Bank of England,5.25,,,
2023-12-17,Bank of England,5.25,,,
2023-12-18,Bank of England,5.25,,,
2023-12-19,Bank of England,5.25,,,
2023-12-20,Bank of England,5.25,,,
2023-12-21,Bank of England,5.25,,,
2023-12-22,Bank of England,5.25,,,
2023-12-23,Bank of England,5.25,,,
2023-12-24,Bank of England,5.25,,,
2023-12-25,Bank of England,5.25,,,
2023-12-26,Bank of England,5.25,,,
2023-12-27,Bank of England,5.25,,,
2023-12-28,Bank of England,5.25,,,
2023-12-29,Bank of England,5.25,,,
2023-12-30,Bank of England,5.25,,,
2023-12-31,Bank of England,5.25,,,
2024-01-01,Bank of England,5.25,,,
2024-01-02,Bank of England,5.25,,,
2024-01-03,Bank of England,5.25,,,
2024-01-04,Bank of England,5.25,,,
2024-01-05,Bank of England,5.25,,,
2024-01-06,Bank of England,5.25,,,
2024-01-07,Bank of England,5.25,,,
2024-01-08,Bank of England,5.25,,,
2024-01-09,Bank of England,5.25,,,
2024-01-10,Bank of England,5.25,,,
2024-01-11,Bank of England,5.25,,,
2024-01-12,Bank of England,5.25,,,
2024-01-13,Bank of England,5.25,,,
2024-01-14,Bank of England,5.25,,,
2024-01-15,Bank of England,5.25,,,
2024-01-16,Bank of England,5.25,,,
2024-01-17,Bank of England,5.25,,,
2024-01-18,Bank of England,5.25,,,
2024-01-19,Bank of England,5.25,,,
2024-01-20,Bank of England,5.25,,,
2024-01-21,Bank of England,5.25,,,
2024-01-22,Bank of England,5.25,,,
2024-01-23,Bank of England,5.25,,,
2024-01-24,Bank of England,5.25,,,
2024-01-25,Bank of England,5.25,,,
2024-01-26,Bank of England,5.25,,,
2024-01-27,Bank of England,5.25,,,
2024-01-28,Bank of England,5.25,,,
2024-01-29,Bank of England,5.25,,,
2024-01-30,Bank of England,5.25,,,
2024-01-31,Bank of England,5.25,,,
2024-02-01,Bank of England,5.25,,,
2024-02-02,Bank of England,5.25,,,
2024-02-03,Bank of England,5.25,,,
2024-02-04,Bank of England,5.25,,,
2024-02-05,Bank of England,5.25,,,
2024-02-06,Bank of England,5.25,,,
2024-02-07,Bank of England,5.25,,,
2024-02-08,Bank of England,5.25,,,
2024-02-09,Bank of England,5.25,,,
2024-02-10,Bank of England,5.25,,,
2024-02-11,Bank of England,5.25,,,
2024-02-12,Bank of England,5.25,,,
2024-02-13,Bank of England,5.25,,,
2024-02-14,Bank of England,5.25,,,
2024-02-15,Bank of England,5.25,,,
2024-02-16,Bank of England,5.25,,,
2024-02-17,Bank of England,5.25,,,
2024-02-18,Bank of England,5.25,,,
2024-02-19,Bank of England,5.25,,,
2024-02-20,Bank of England,5.25,,,
2024-02-21,Bank of England,5.25,,,
2024-02-22,Bank of England,5.25,,,
2024-02-23,Bank of England,5.25,,,
2024-02-24,Bank of England,5.25,,,
2024-02-25,Bank of England,5.25,,,
2024-02-26,Bank of England,5.25,,,
2024-02-27,Bank of England,5.25,,,
2024-02-28,Bank of England,5.25,,,
2024-02-29,Bank of England,5.25,,,
2024-03-01,Bank of England,5.25,,,
2024-03-02,Bank of England,5.25,,,
2024-03-03,Bank of England,5.25,,,
2024-03-04,Bank of England,5.25,,,
2024-03-05,Bank of England,5.25,,,
2024-03-06,Bank of England,5.25,,,
2024-03-07,Bank of England,5.25,,,
2024-03-08,Bank of England,5.25,,,
2024-03-09,Bank of England,5.25,,,
2024-03-10,Bank of England,5.25,,,
2024-03-11,Bank of England,5.25,,,
2024-03-12,Bank of England,5.25,,,
2024-03-13,Bank of England,5.25,,,
2024-03-14,Bank of England,5.25,,,
2024-03-15,Bank of England,5.25,,,
2024-03-16,Bank of England,5.25,,,
2024-03-17,Bank of England,5.25,,,
2024-03-18,Bank of England,5.25,,,
2024-03-19,Bank of England,5.25,,,
2024-03-20,Bank of England,5.25,,,
2024-03-21,Bank of England,5.25,,,
2024-03-22,Bank of England,5.25,,,
2024-03-23,Bank of England,5.25,,,
2024-03-24,Bank of England,5.25,,,
2024-03-25,Bank of England,5.25,,,
2024-03-26,Bank of England,5.25,,,
2024-03-27,Bank of England,5.25,,,
2024-03-28,Bank of England,5.25,,,
2024-03-29,Bank of England,5.25,,,
2024-03-30,Bank of England,5.25,,,
2024-03-31,Bank of England,5.25,,,
2024-04-01,Bank of England,5.25,,,
2024-04-02,Bank of England,5.25,,,
2024-04-03,Bank of England,5.25,,,
2024-04-04,Bank of England,5.25,,,
2024-04-05,Bank of England,5.25,,,
2024-04-06,Bank of England,5.25,,,
2024-04-07,Bank of England,5.25,,,
2024-04-08,Bank of England,5.25,,,
2024-04-09,Bank of England,5.25,,,
2024-04-10,Bank of England,5.25,,,
2024-04-11,Bank of England,5.25,,,
2024-04-12,Bank of England,5.25,,,
2024-04-13,Bank of England,5.25,,,
2024-04-14,Bank of England,5.25,,,
2024-04-15,Bank of England,5.25,,,
2024-04-16,Bank of England,5.25,,,
2024-04-17,Bank of England,5.25,,,
2024-04-18,Bank of England,5.25,,,
2024-04-19,Bank of England,5.25,,,
2024-04-20,Bank of England,5.25,,,
2024-04-21,Bank of England,5.25,,,
2024-04-22,Bank of England,5.25,,,
2024-04-23,Bank of England,5.25,,,
2024-04-24,Bank of England,5.25,,,
2024-04-25,Bank of England,5.25,,,
2024-04-26,Bank of England,5.25,,,
2024-04-27,Bank of England,5.25,,,
2024-04-28,Bank of England,5.25,,,
2024-04-29,Bank of England,5.25,,,
2024-04-30,Bank of England,5.25,,,
2024-05-01,Bank of England,5.25,,,
2024-05-02,Bank of England,5.25,,,
2024-05-03,Bank of England,5.25,,,
2024-05-04,Bank of England,5.25,,,
2024-05-05,Bank of England,5.25,,,
2024-05-06,Bank of England,5.25,,,
2024-05-07,Bank of England,5.25,,,
2024-05-08,Bank of England,5.25,,,
2024-05-09,Bank of England,5.25,,,
2024-05-10,Bank of England,5.25,,,
2024-05-11,Bank of England,5.25,,,
2024-05-12,Bank of England,5.25,,,
2024-05-13,Bank of England,5.25,,,
2024-05-14,Bank of England,5.25,,,
2024-05-15,Bank of England,5.25,,,
2024-05-16,Bank of England,5.25,,,
2024-05-17,Bank of England,5.25,,,
2024-05-18,Bank of England,5.25,,,
2024-05-19,Bank of England,5.25,,,
2024-05-20,Bank of England,5.25,,,
2024-05-21,Bank of England,5.25,,,
2024-05-22,Bank of England,5.25,,,
2024-05-23,Bank of England,5.25,,,
2024-05-24,Bank of England,5.25,,,
2024-05-25,Bank of England,5.25,,,
2024-05-26,Bank of England,5.25,,,
2024-05-27,Bank of England,5.25,,,
2024-05-28,Bank of England,5.25,,,
2024-05-29,Bank of England,5.25,,,
2024-05-30,Bank of England,5.25,,,
2024-05-31,Bank of England,5.25,,,
2024-06-01,Bank of England,5.25,,,
2024-06-02,Bank of England,5.25,,,
2024-06-03,Bank of England,5.25,,,
2024-06-04,Bank of England,5.25,,,
2024-06-05,Bank of England,5.25,,,
2024-06-06,Bank of England,5.25,,,
2024-06-07,Bank of England,5.25,,,
2024-06-08,Bank of England,5.25,,,
2024-06-09,Bank of England,5.25,,,
2024-06-10,Bank of England,5.25,,,
2024-06-11,Bank of England,5.25,,,
2024-06-12,Bank of England,5.25,,,
2024-06-13,Bank of England,5.25,,,
2024-06-14,Bank of England,5.25,,,
2024-06-15,Bank of England,5.25,,,
2024-06-16,Bank of England,5.25,,,
2024-06-17,Bank of England,5.25,,,
2024-06-18,Bank of England,5.25,,,
2024-06-19,Bank of England,5.25,,,
2024-06-20,Bank of England,5.25,,,
2024-06-21,Bank of England,5.25,,,
2024-06-22,Bank of England,5.25,,,
2024-06-23,Bank of England,5.25,,,
2024-06-24,Bank of England,5.25,,,
2024-06-25,Bank of England,5.25,,,
2024-06-26,Bank of England,5.25,,,
2024-06-27,Bank of England,5.25,,,
2024-06-28,Bank of England,5.25,,,
2024-06-29,Bank of England,5.25,,,
2024-06-30,Bank of England,5.25,,,
2024-07-01,Bank of England,5.25,,,
2024-07-02,Bank of England,5.25,,,
2024-07-03,Bank of England,5.25,,,
2024-07-04,Bank of England,5.25,,,
2024-07-05,Bank of England,5.25,,,
2024-07-06,Bank of England,5.25,,,
2024-07-07,Bank of England,5.25,,,
2024-07-08,Bank of England,5.25,,,
2024-07-09,Bank of England,5.25,,,
2024-07-10,Bank of England,5.25,,,
2024-07-11,Bank of England,5.25,,,
2024-07-12,Bank of England,5.25,,,
2024-07-13,Bank of England,5.25,,,
2024-07-14,Bank of England,5.25,,,
2024-07-15,Bank of England,5.25,,,
2024-07-16,Bank of England,5.25,,,
2024-07-17,Bank of England,5.25,,,
2024-07-18,Bank of England,5.25,,,
2024-07-19,Bank of England,5.25,,,
2024-07-20,Bank of England,5.25,,,
2024-07-21,Bank of England,5.25,,,
2024-07-22,Bank of England,5.25,,,
2024-07-23,Bank of England,5.25,,,
2024-07-24,Bank of England,5.25,,,
2024-07-25,Bank of England,5.25,,,
2024-07-26,Bank of England,5.25,,,
2024-07-27,Bank of England,5.25,,,
2024-07-28,Bank of England,5.25,,,
2024-07-29,Bank of England,5.25,,,
2024-07-30,Bank of England,5.25,,,
2024-07-31,Bank of England,5.25,,,
2024-08-01,Bank of England,5,,,
2024-08-02,Bank of England,5,,,
2024-08-03,Bank of England,5,,,
2024-08-04,Bank of England,5,,,
2024-08-05,Bank of England,5,,,
2024-08-06,Bank of England,5,,,
2024-08-07,Bank of England,5,,,
2024-08-08,Bank of England,5,,,
2024-08-09,Bank of England,5,,,
2024-08-10,Bank of England,5,,,
2024-08-11,Bank of England,5,,,
2024-08-12,Bank of England,5,,,
2024-08-13,Bank of England,5,,,
2024-08-14,Bank of England,5,,,
2024-08-15,Bank of England,5,,,
2024-08-16,Bank of England,5,,,
2024-08-17,Bank of England,5,,,
2024-08-18,Bank of England,5,,,
2024-08-19,Bank of England,5,,,
2024-08-20,Bank of England,5,,,
2024-08-21,Bank of England,5,,,
2024-08-22,Bank of England,5,,,
2024-08-23,Bank of England,5,,,
2024-08-24,Bank of England,5,,,
2024-08-25,Bank of England,5,,,
2024-08-26,Bank of England,5,,,
2024-08-27,Bank of England,5,,,
2024-08-28,Bank of England,5,,,
2024-08-29,Bank of England,5,,,
2024-08-30,Bank of England,5,,,
2024-08-31,Bank of England,5,,,
2024-09-01,Bank of England,5,,,
2024-09-02,Bank of England,5,,,
2024-09-03,Bank of England,5,,,
2024-09-04,Bank of England,5,,,
2024-09-05,Bank of England,5,,,
2024-09-06,Bank of England,5,,,
2024-09-07,Bank of England,5,,,
2024-09-08,Bank of England,5,,,
2024-09-09,Bank of England,5,,,
2024-09-10,Bank of England,5,,,
2024-09-11,Bank of England,5,,,
2024-09-12,Bank of England,5,,,
2024-09-13,Bank of England,5,,,
2024-09-14,Bank of England,5,,,
2024-09-15,Bank of England,5,,,
2024-09-16,Bank of England,5,,,
2024-09-17,Bank of England,5,,,
2024-09-18,Bank of England,5,,,
2024-09-19,Bank of England,5,,,
2024-09-20,Bank of England,5,,,
2024-09-21,Bank of England,5,,,
2024-09-22,Bank of England,5,,,
2024-09-23,Bank of England,5,,,
2024-09-24,Bank of England,5,,,
2024-09-25,Bank of England,5,,,
2024-09-26,Bank of England,5,,,
2024-09-27,Bank of England,5,,,
2024-09-28,Bank of England,5,,,
2024-09-29,Bank of England,5,,,
2024-09-30,Bank of England,5,,,
2024-10-01,Bank of England,5,,,
2024-10-02,Bank of England,5,,,
2024-10-03,Bank of England,5,,,
2024-10-04,Bank of England,5,,,
2024-10-05,Bank of England,5,,,
2024-10-06,Bank of England,5,,,
2024-10-07,Bank of England,5,,,
2024-10-08,Bank of England,5,,,
2024-10-09,Bank of England,5,,,
2024-10-10,Bank of England,5,,,
2024-10-11,Bank of England,5,,,
2024-10-12,Bank of England,5,,,
2024-10-13,Bank of England,5,,,
2024-10-14,Bank of England,5,,,
2024-10-15,Bank of England,5,,,
2024-10-16,Bank of England,5,,,
2024-10-17,Bank of England,5,,,
2024-10-18,Bank of England,5,,,
2024-10-19,Bank of England,5,,,
2024-10-20,Bank of England,5,,,
2024-10-21,Bank of England,5,,,
2024-10-22,Bank of England,5,,,
2024-10-23,Bank of England,5,,,
2024-10-24,Bank of England,5,,,
2024-10-25,Bank of England,5,,,
2024-10-26,Bank of England,5,,,
2024-10-27,Bank of England,5,,,
2024-10-28,Bank of England,5,,,
2024-10-29,Bank of England,5,,,
2024-10-30,Bank of England,5,,,
2024-10-31,Bank of England,5,,,
2024-11-01,Bank of England,5,,,
2024-11-02,Bank of England,5,,,
2024-11-03,Bank of England,5,,,
2024-11-04,Bank of England,5,,,
2024-11-05,Bank of England,5,,,
2024-11-06,Bank of England,5,,,
2024-11-07,Bank of England,4.75,,,
2024-11-08,Bank of England,4.75,,,
2024-11-09,Bank of England,4.75,,,
2024-11-10,Bank of England,4.75,,,
2024-11-11,Bank of England,4.75,,,
2024-11-12,Bank of England,4.75,,,
2024-11-13,Bank of England,4.75,,,
2024-11-14,Bank of England,4.75,,,
2024-11-15,Bank of England,4.75,,,
2024-11-16,Bank of England,4.75,,,
2024-11-17,Bank of England,4.75,,,
2024-11-18,Bank of England,4.75,,,
2024-11-19,Bank of England,4.75,,,
2024-11-20,Bank of England,4.75,,,
2024-11-21,Bank of England,4.75,,,
2024-11-22,Bank of England,4.75,,,
2024-11-23,Bank of England,4.75,,,
2024-11-24,Bank of England,4.75,,,
2024-11-25,Bank of England,4.75,,,
2024-11-26,Bank of England,4.75,,,
2024-11-27,Bank of England,4.75,,,
2024-11-28,Bank of England,4.75,,,
2024-11-29,Bank of England,4.75,,,
2024-11-30,Bank of England,4.75,,,
2024-12-01,Bank of England,4.75,,,
2024-12-02,Bank of England,4.75,,,
2024-12-03,Bank of England,4.75,,,
2024-12-04,Bank of England,4.75,,,
2024-12-05,Bank of England,4.75,,,
2024-12-06,Bank of England,4.75,,,
2024-12-07,Bank of England,4.75,,,
2024-12-08,Bank of England,4.75,,,
2024-12-09,Bank of England,4.75,,,
2024-12-10,Bank of England,4.75,,,
2024-12-11,Bank of England,4.75,,,
2024-12-12,Bank of England,4.75,,,
2024-12-13,Bank of England,4.75,,,
2024-12-14,Bank of England,4.75,,,
2024-12-15,Bank of England,4.75,,,
2024-12-16,Bank of England,4.75,,,
2024-12-17,Bank of England,4.75,,,
2024-12-18,Bank of England,4.75,,,
2024-12-19,Bank of England,4.75,,,
2024-12-20,Bank of England,4.75,,,
2024-12-21,Bank of England,4.75,,,
2024-12-22,Bank of England,4.75,,,
2024-12-23,Bank of England,4.75,,,
2024-12-24,Bank of England,4.75,,,
2024-12-25,Bank of England,4.75,,,
2024-12-26,Bank of England,4.75,,,
2024-12-27,Bank of England,4.75,,,
2024-12-28,Bank of England,4.75,,,
2024-12-29,Bank of England,4.75,,,
2024-12-30,Bank of England,4.75,,,
2024-12-31,Bank of England,4.75,,,
2025-01-01,Bank of England,4.75,,,
2025-01-02,Bank of England,4.75,,,
2025-01-03,Bank of England,4.75,,,
2025-01-04,Bank of England,4.75,,,
